Rank,Change_in_Rank,University_Name,Entry_Standards,Student_Satisfaction,Research_Quality,Graduate_Prospects,Overall_Score
104th,10,West of Scotland,136,4.08,2.36,80.2,567
105th,7,Solent,118,4.10,1.63,70.2,565
106th,15,Winchester,112,4.04,2.32,64.2,564
107th,8,Sunderland,116,4.05,2.12,66.4,563
107th,31,Buckingham,121,4.24,,81.5,563
109th,1,Worcester,118,4.11,2.08,74.7,556
110th,3,Northampton,105,4.01,2.09,67.8,553
111th,12,York St John,114,4.08,2.04,73.4,543
112th,4,Leeds Trinity,108,4.11,2.01,67.9,541
113th,6,South Wales,125,4.06,2.51,63.2,537
114th,8,Brighton,117,3.94,2.84,66.8,534
115th,7,Buckinghamshire New,115,4.10,2.19,67.6,528
116th,7,East London,107,4.11,2.71,65.0,526
117th,6,Canterbury Christ Church,108,3.99,2.38,64.4,522
118th,2,Anglia Ruskin,110,4.08,2.37,68.1,510
119th,1,Bishop Grosseteste,110,3.94,1.96,72.7,507
120th,3,Cumbria,123,3.92,2.13,72.4,502
121st,0,Leeds Beckett,112,4.06,2.16,63.1,498
122nd,4,Bedfordshire,98,4.07,2.52,70.2,492
123rd,6,Royal Agricultural University,118,3.90,1.40,63.3,490
124th,5,Wolverhampton,110,4.03,2.31,68.7,483
125th,6,Newman,117,4.02,2.13,64.2,475
126th,5,London Metropolitan,99,4.00,2.44,69.1,473
127th,3,Plymouth Marjon,120,4.23,,63.6,470
128th,2,Bolton,115,4.21,2.04,56.5,447
129th,1,Suffolk,116,3.90,,64.2,421
130th,3,Wrexham Glyndŵr,94,4.00,2.15,63.1,417
131st,New,Ravensbourne,110,3.82,,68.7,339
